PTAXID,COMPANYID,BRANCHID,CLIENTID,DATE,VAT,INCOMETAX,DELETESTATUS,CREATEDBY,CREATEDDATETIME,MODIFIEDBY,MODIFIEDDATETIME
204,1000,1,20,7/31/2018 0:00,0,0,FALSE,41,39:31.3,,
206,1000,1,2,7/31/2018 0:00,0,0,FALSE,41,50:21.2,,
207,1000,1,62,7/31/2018 0:00,0,0,FALSE,41,54:18.0,,
208,1000,1,29,7/31/2018 0:00,0,0,FALSE,41,08:05.8,,
210,1000,1,24,7/31/2018 0:00,0,0,FALSE,41,17:48.4,,
213,1000,1,49,7/31/2018 0:00,1943,0,FALSE,1,42:51.3,,
214,1000,1,49,7/30/2018 0:00,931,994,FALSE,1,43:45.4,,
215,1000,1,3,8/31/2018 0:00,0,215,FALSE,1,59:07.0,,
217,1000,1,2,8/31/2018 0:00,3790,0,FALSE,1,16:45.3,,
218,1000,1,1,8/31/2018 0:00,8404,0,FALSE,41,30:09.0,,
219,1000,1,40,8/31/2018 0:00,0,0,FALSE,41,37:43.3,,
222,1000,1,56,8/31/2018 0:00,0,0,FALSE,41,57:53.5,,
223,1000,1,23,8/31/2018 0:00,1741,67,FALSE,41,02:22.5,,
225,1000,1,31,8/31/2018 0:00,0,0,FALSE,41,08:40.7,,
226,1000,1,38,8/31/2018 0:00,0,0,FALSE,41,10:30.1,,
227,1000,1,37,8/31/2018 0:00,0,0,FALSE,41,13:48.3,,
228,1000,1,68,8/31/2018 0:00,0,0,FALSE,41,26:50.1,,
230,1000,1,21,8/31/2018 0:00,0,0,FALSE,1,49:10.2,,
231,1000,1,24,8/31/2018 0:00,0,0,FALSE,1,16:47.1,,
233,1000,1,49,8/31/2018 0:00,6636,0,FALSE,1,58:42.8,,
234,1000,1,49,8/30/2018 0:00,980,1989,FALSE,1,59:50.8,,
235,1000,1,30,8/31/2018 0:00,0,0,FALSE,41,24:07.5,,
236,1000,1,39,8/31/2018 0:00,0,0,FALSE,41,26:36.5,,
237,1000,1,20,8/31/2018 0:00,0,270,FALSE,41,29:55.9,,
239,1000,1,62,8/31/2018 0:00,0,0,FALSE,41,35:39.3,,
240,1000,1,41,8/31/2018 0:00,0,0,FALSE,41,37:05.0,,
241,1000,1,43,8/31/2018 0:00,0,0,FALSE,41,38:30.1,,
242,1000,1,29,8/31/2018 0:00,0,0,FALSE,41,39:57.1,,
244,1000,1,7,8/31/2018 0:00,0,0,FALSE,41,42:29.4,,
245,1000,1,64,8/31/2018 0:00,2133,2000,FALSE,1,05:13.2,,
246,1000,1,4,8/31/2018 0:00,2009,1883,FALSE,1,01:57.7,,
247,1000,1,63,8/31/2018 0:00,0,0,FALSE,1,09:36.2,,
250,1000,1,54,8/31/2018 0:00,0,0,FALSE,1,14:49.2,1,17:04.5
251,1000,1,53,8/31/2018 0:00,13691,5193,FALSE,1,12:01.9,,
254,1000,1,2,9/30/2018 0:00,0,3029,FALSE,1,32:30.1,,
255,1000,1,73,8/31/2018 0:00,0,0,FALSE,1,11:34.2,,
256,1000,1,4,9/30/2018 0:00,0,0,FALSE,1,20:15.6,,
257,1000,1,3,9/30/2018 0:00,0,364,FALSE,1,42:11.8,,
259,1000,1,30,9/30/2018 0:00,0,0,FALSE,1,35:08.6,,
260,1000,1,43,9/30/2018 0:00,0,0,FALSE,1,34:49.5,,
261,1000,1,54,9/30/2018 0:00,0,0,FALSE,1,47:34.6,,
264,1000,1,66,9/30/2018 0:00,0,0,FALSE,1,18:17.7,,
265,1000,1,21,9/30/2018 0:00,1664,0,FALSE,1,33:06.4,,
266,1000,1,78,9/30/2018 0:00,1101,1590,FALSE,1,09:27.7,,
267,1000,1,24,9/30/2018 0:00,0,0,FALSE,1,31:18.6,,
268,1000,1,62,9/30/2018 0:00,0,0,FALSE,41,21:40.7,,
269,1000,1,41,9/30/2018 0:00,0,0,FALSE,41,30:01.9,,
270,1000,1,29,9/30/2018 0:00,0,0,FALSE,41,36:25.6,,
271,1000,1,66,10/2/2018 0:00,0,0,FALSE,1,56:56.2,,
272,1000,1,63,9/30/2018 0:00,0,0,FALSE,41,29:04.2,,
274,1000,1,39,9/30/2018 0:00,0,1151,FALSE,41,33:24.7,41,40:12.2
275,1000,1,20,9/30/2018 0:00,0,0,FALSE,41,22:46.3,,
277,1000,1,49,9/30/2018 0:00,1528,0,FALSE,41,25:29.1,,
278,1000,1,49,9/29/2018 0:00,994,1894,FALSE,41,28:24.0,,
279,1000,1,53,9/30/2018 0:00,4035,4035,FALSE,41,20:03.6,,
280,1000,1,64,9/30/2018 0:00,2133,2000,FALSE,41,26:18.7,,
281,1000,1,7,9/30/2018 0:00,6859,0,FALSE,41,07:30.8,,
284,1000,1,62,10/31/2018 0:00,0,0,FALSE,41,41:56.3,,
285,1000,1,30,10/31/2018 0:00,0,0,FALSE,1,53:28.2,,
287,1000,1,41,10/31/2018 0:00,0,0,FALSE,41,15:34.1,,
288,1000,1,1,10/31/2018 0:00,0,0,FALSE,1,19:22.8,,
289,1000,1,29,10/31/2018 0:00,0,0,FALSE,41,23:33.8,,
290,1000,1,40,10/31/2018 0:00,0,0,FALSE,1,14:44.3,,
291,1000,1,4,10/31/2018 0:00,0,0,FALSE,1,54:48.2,,
292,1000,1,43,10/31/2018 0:00,0,0,FALSE,1,15:59.0,,
293,1000,1,37,10/31/2018 0:00,0,0,FALSE,41,39:10.1,,
295,1000,1,23,10/31/2018 0:00,0,0,FALSE,41,49:23.4,,
298,1000,1,24,10/31/2018 0:00,0,0,FALSE,1,03:22.2,,
299,1000,1,68,10/31/2018 0:00,0,0,FALSE,1,17:32.4,,
301,1000,1,54,10/31/2018 0:00,0,0,FALSE,1,13:58.7,,
303,1000,1,78,10/31/2018 0:00,0,227,FALSE,1,20:47.7,,
304,1000,1,56,10/31/2018 0:00,0,107,FALSE,41,29:51.1,,
305,1000,1,31,10/31/2018 0:00,0,401,FALSE,41,09:42.7,,
306,1000,1,2,10/31/2018 0:00,0,6113,FALSE,41,42:05.5,,
307,1000,1,3,10/31/2018 0:00,0,402,FALSE,1,48:31.5,1,15:34.9
308,1000,1,39,10/31/2018 0:00,0,934,FALSE,41,56:46.0,,
309,1000,1,87,10/31/2018 0:00,0,0,FALSE,1,37:01.3,,
311,1000,1,86,10/31/2018 0:00,0,0,FALSE,1,15:16.2,,
313,1000,1,64,10/31/2018 0:00,2133,2000,FALSE,41,38:52.6,,
314,1000,1,49,10/31/2018 0:00,0,0,FALSE,41,13:08.3,,
319,1000,1,53,10/31/2018 0:00,0,7634,FALSE,41,19:04.9,,
320,1000,1,20,10/31/2018 0:00,0,0,FALSE,41,50:57.9,,
321,1000,1,21,10/31/2018 0:00,0,0,FALSE,1,36:18.5,,
322,1000,1,38,10/31/2018 0:00,0,49,FALSE,41,04:40.0,,
324,1000,1,7,10/31/2018 0:00,2155,2700,FALSE,41,47:34.8,,
325,1000,1,80,10/31/2018 0:00,0,0,FALSE,1,06:41.0,,
328,1000,1,2,11/30/2018 0:00,0,51591,FALSE,41,01:22.0,,
330,1000,1,20,11/30/2018 0:00,0,0,FALSE,41,54:14.4,,
332,1000,1,62,11/30/2018 0:00,0,0,FALSE,41,05:51.7,,
333,1000,1,41,11/30/2018 0:00,0,0,FALSE,41,28:08.1,,
334,1000,1,29,11/30/2018 0:00,0,0,FALSE,41,39:21.7,,
337,1000,1,63,11/30/2018 0:00,0,0,FALSE,41,44:29.0,,
338,1000,1,30,11/30/2018 0:00,0,0,FALSE,1,08:12.1,,
339,1000,1,39,11/30/2018 0:00,0,1785,FALSE,41,35:48.3,,
341,1000,1,3,11/30/2018 0:00,0,405,FALSE,1,59:46.5,,
342,1000,1,43,11/30/2018 0:00,0,0,FALSE,1,23:25.0,,
346,1000,1,21,11/30/2018 0:00,0,0,FALSE,1,45:05.8,,
347,1000,1,80,11/30/2018 0:00,0,0,FALSE,1,34:43.1,,
349,1000,1,78,11/30/2018 0:00,0,0,FALSE,1,25:51.8,,
350,1000,1,54,11/30/2018 0:00,0,0,FALSE,1,27:00.8,,
351,1000,1,64,11/30/2018 0:00,2133,2000,FALSE,41,15:36.3,,
352,1000,1,49,11/30/2018 0:00,6209,1328,FALSE,41,10:34.7,,
353,1000,1,53,11/30/2018 0:00,3230,10317,FALSE,41,28:17.3,,
354,1000,1,87,11/30/2018 0:00,0,0,FALSE,1,32:10.3,,
357,1000,1,84,12/31/2018 0:00,0,0,FALSE,1,24:59.2,,
359,1000,1,30,12/31/2018 0:00,0,0,FALSE,1,53:39.4,,
360,1000,1,1,12/31/2018 0:00,0,0,FALSE,1,02:54.0,,
361,1000,1,40,12/31/2018 0:00,0,0,FALSE,1,18:07.8,,
362,1000,1,64,12/31/2018 0:00,2133,2000,FALSE,41,23:42.4,,
363,1000,1,63,12/31/2018 0:00,0,0,FALSE,41,58:19.0,,
365,1000,1,49,12/31/2018 0:00,980,1198,FALSE,41,29:31.3,,
367,1000,1,4,12/31/2018 0:00,0,81,FALSE,1,00:31.8,,
368,1000,1,53,12/31/2018 0:00,0,12032,FALSE,41,15:59.4,,
369,1000,1,24,12/31/2018 0:00,0,0,FALSE,1,58:21.6,,
371,1000,1,3,12/31/2018 0:00,0,402,FALSE,1,17:25.9,,
372,1000,1,39,12/31/2018 0:00,0,0,FALSE,41,55:14.5,41,31:02.3
373,1000,1,38,12/31/2018 0:00,0,0,FALSE,41,56:18.9,41,35:53.3
375,1000,1,20,12/31/2018 0:00,0,0,FALSE,41,54:23.8,,
377,1000,1,87,12/31/2018 0:00,0,0,FALSE,1,20:07.6,,
378,1000,1,62,12/31/2018 0:00,0,0,FALSE,41,29:39.8,,
379,1000,1,54,12/31/2018 0:00,0,0,FALSE,1,32:39.4,,
380,1000,1,41,12/31/2018 0:00,0,0,FALSE,41,14:26.8,,
